,id,price,builtArea,pricePerBuiltSqm,stratum,administrationFee,floor,isDuplex,privateArea,rooms,toilets,parkingSpaces,hasServiceRoom,hasServiceToilet,hasLaundryZone,hasDeposit,hasStudy,isExterior,hasTerrace,terraceArea,hasCommunalHall,hasTennisCourt,hasSoccerField,hasKidsPlayZone,hasGreenZones,isResidentialComplex,hasConcierge,hasVisitorParking,hasPool,long,lat,geometry
4675,7e64974a-fbb4-4956-a59e-b037a7aad1f6,500000000,143.0,3496503.4965034965,6.0,442500.0,5.0,False,143.0,4,3,2.0,False,False,True,False,False,True,False,28.139204545454547,True,False,False,True,True,True,False,False,False,-75.56743,6.2005324,POINT (-75.56743 6.2005324)
4676,7e8c709f-6ac4-4a51-a2d7-ebad04e4c6be,570000000,120.0,4750000.0,6.0,2718437.97185619,7.0,False,120.0,3,3,1.0,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.57942,6.2403927,POINT (-75.57942 6.2403927)
4677,7e9584ff-283d-42dd-84c6-7fabde660d15,235000000,74.0,3175675.675675676,3.0,2718437.97185619,7.0,False,74.0,3,2,1.0,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.60029,6.226616,POINT (-75.60029 6.226616)
4678,7eb57750-e212-4322-a677-e75157e9bc54,342000000,70.0,4885714.285714285,5.0,222800.0,7.125251846877099,False,70.0,3,1,1.0,False,False,True,True,False,True,False,28.139204545454547,True,False,False,True,False,True,True,False,True,-75.60123,6.2162604,POINT (-75.60123 6.2162604)
4679,7ec94108-c4ec-445e-8c39-0741573975ff,385000000,90.0,4277777.777777778,5.0,120000.0,6.0,False,90.0,3,2,1.0,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,True,False,False,-75.59288,6.2319646,POINT (-75.59288 6.2319646)
4680,7edeb91b-9cb2-4c3e-af7b-d91636252e7a,250000000,51.0,4901960.784313725,5.0,2718437.97185619,17.0,False,51.0,3,2,1.0,False,False,True,False,False,False,True,28.139204545454547,True,False,False,True,True,True,True,True,True,-75.60632,6.2198777,POINT (-75.60632 6.2198777)
4681,7ee2c33f-a2a2-48ef-9f7d-cefdd8fc2c20,620000000,89.0,6966292.134831461,6.0,290000.0,7.125251846877099,False,89.0,2,2,2.0,False,False,True,True,False,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.56208,6.194677,POINT (-75.56208 6.194677)
4682,7f02f9fe-09ee-470b-93d5-621a5c53bc97,520000000,131.0,3969465.6488549616,6.0,495000.0,8.0,False,131.0,3,3,2.0,True,False,False,False,False,False,False,28.139204545454547,False,False,False,False,True,True,True,False,False,-75.5731,6.204452,POINT (-75.5731 6.204452)
4683,7f148e78-debb-441c-a060-119421050597,1420000000,220.0,6454545.454545454,6.0,660000.0,7.125251846877099,False,220.0,3,4,2.0,True,False,True,True,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.57028,6.190297,POINT (-75.57028 6.190297)
4684,7f1af16d-3d42-4e45-a75a-751f27df89a6,260000000,55.0,4727272.727272728,4.939397078628406,111000.0,7.125251846877099,False,55.0,1,2,1.6517575616022422,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,True,True,True,False,False,-75.56582,6.2476377,POINT (-75.56582 6.2476377)
